Rettangoli_naif , Trapezi , Simpson
79000 , 1.08752e-05 , -2.29436e-11 , -1.35742e-16
80000 , 1.07392e-05 , -2.23736e-11 , -1.50813e-16
81000 , 1.06067e-05 , -2.18246e-11 , -1.40621e-16
82000 , 1.04773e-05 , -2.12955e-11 , -1.43657e-16
83000 , 1.03511e-05 , -2.07855e-11 , -1.33791e-16
84000 , 1.02278e-05 , -2.02935e-11 , -1.35308e-16
85000 , 1.01075e-05 , -1.98189e-11 , -1.48969e-16
86000 , 9.98999e-06 , -1.93606e-11 , -1.49078e-16
87000 , 9.87516e-06 , -1.89181e-11 , -1.4962e-16
88000 , 9.76295e-06 , -1.84906e-11 , -1.4344e-16
89000 , 9.65325e-06 , -1.80774e-11 , -1.47235e-16
90000 , 9.54599e-06 , -1.76779e-11 , -1.40296e-16
91000 , 9.44109e-06 , -1.72916e-11 , -1.40079e-16
92000 , 9.33847e-06 , -1.69177e-11 , -1.4962e-16
93000 , 9.23806e-06 , -1.65558e-11 , -1.41488e-16
94000 , 9.13978e-06 , -1.62055e-11 , -1.41814e-16
95000 , 9.04357e-06 , -1.58661e-11 , -1.45283e-16
96000 , 8.94937e-06 , -1.55373e-11 , -1.37694e-16
97000 , 8.85711e-06 , -1.52186e-11 , -1.41272e-16
98000 , 8.76673e-06 , -1.49096e-11 , -1.38019e-16
99000 , 8.67818e-06 , -1.46099e-11 , -1.47668e-16
100000 , 8.59139e-06 , -1.43192e-11 , -1.38344e-16
110000 , 7.81036e-06 , -1.1834e-11 , -1.41597e-16
120000 , 7.1595e-06 , -9.94391e-12 , -1.54607e-16
130000 , 6.60877e-06 , -8.47293e-12 , -1.30755e-16
140000 , 6.13671e-06 , -7.30576e-12 , -1.43115e-16
150000 , 5.7276e-06 , -6.36415e-12 , -1.35525e-16
160000 , 5.36963e-06 , -5.5935e-12 , -1.39103e-16
170000 , 5.05377e-06 , -4.95482e-12 , -1.52656e-16
180000 , 4.773e-06 , -4.41959e-12 , -1.58402e-16
190000 , 4.52179e-06 , -3.96664e-12 , -1.49837e-16
200000 , 4.2957e-06 , -3.5799e-12 , -1.34549e-16
210000 , 4.09114e-06 , -3.24709e-12 , -1.60462e-16
220000 , 3.90518e-06 , -2.95861e-12 , -1.28153e-16
230000 , 3.73539e-06 , -2.70695e-12 , -1.45283e-16
240000 , 3.57975e-06 , -2.48608e-12 , -1.47885e-16
250000 , 3.43656e-06 , -2.29119e-12 , -1.37694e-16
