x;y;func
5.70513;-0.540703;-0.951057
5.7177;-0.530114;-0.951057
5.73027;-0.519448;-0.951057
5.74283;-0.508707;-0.951057
5.7554;-0.497893;-0.951057
5.76796;-0.487007;-0.951057
5.78053;-0.476051;-0.951057
5.7931;-0.465026;-0.951057
5.80566;-0.453935;-0.951057
5.81823;-0.44278;-0.951057
5.8308;-0.43156;-0.951057
5.84336;-0.42028;-0.951057
5.85593;-0.40894;-0.951057
5.8685;-0.397541;-0.951057
5.88106;-0.386087;-0.951057
5.89363;-0.374577;-0.951057
5.90619;-0.363015;-0.951057
5.91876;-0.351401;-0.951057
5.93133;-0.339738;-0.951057
5.94389;-0.328027;-0.951057
5.95646;-0.31627;-0.951057
5.96903;-0.304469;-0.951057
5.98159;-0.292625;-0.951057
5.99416;-0.28074;-0.951057
6.00673;-0.268816;-0.951057
6.01929;-0.256854;-0.951057
6.03186;-0.244856;-0.951057
6.04442;-0.232824;-0.951057
6.05699;-0.22076;-0.951057
6.06956;-0.208665;-0.951057
6.08212;-0.196541;-0.951057
6.09469;-0.184389;-0.951057
6.10726;-0.172212;-0.951057
6.11982;-0.160011;-0.951057
6.13239;-0.147788;-0.951057
6.14496;-0.135544;-0.951057
6.15752;-0.123282;-0.951057
6.17009;-0.111002;-0.951057
6.18265;-0.0987074;-0.951057
6.19522;-0.0863989;-0.951057
6.20779;-0.0740784;-0.951057
6.22035;-0.0617476;-0.951057
6.23292;-0.0494084;-0.951057
6.24549;-0.0370622;-0.951057
6.25805;-0.024711;-0.951057
6.27062;-0.0123564;-0.951057
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
6.28319;2.11075e-319;-2.44929e-16
